,product_id,count
9684,45607,4801
438,1749,4798
41845,5046975,4792
67324,6805308,4792
41478,5046482,4791
653,2323,4789
8001,30247,4784
33751,3817508,4766
17268,72929,4756
49595,5476180,4741
7018,26631,4740
1933,7979,4739
46907,5209298,4736
7287,27569,4734
10560,55034,4727
17486,73484,4726
9852,47780,4721
17997,74649,4720
2707,10196,4714
10271,51487,4706
796,4443,4705
20446,80233,4704
5450,20289,4691
3761,14506,4685
5100,18720,4681
5088,18677,4680
56932,6607750,4679
9456,44787,4678
10882,57280,4672
8626,37212,4656
5447,20286,4650
18998,76596,4648
3187,13114,4643
17408,73291,4639
12532,60850,4632
12432,60615,4627
28455,199645,4607
13410,63724,4607
10993,57462,4606
65407,6782783,4605
19637,78247,4594
655,2325,4593
28055,198043,4591
25677,96400,4590
8777,37455,4589
5810,22107,4578
22232,86112,4565
2132,8546,4560
8677,37292,4557
1018,5180,4554
33040,3565479,4532
8292,36243,4526
2446,9598,4526
32621,3497403,4525
17452,73411,4514
3176,13075,4513
1672,7495,4512
73633,7036226,4508
5814,22161,4508
22233,86113,4496
1614,7373,4494
33243,3571077,4493
16968,72282,4493
8288,36238,4493
3785,14572,4492
29544,2833439,4490
9608,45448,4487
29443,2599278,4487
1632,7410,4474
4871,17761,4472
2011,8201,4469
32701,3497521,4468
5309,19932,4467
21649,84118,4461
2613,9945,4458
5811,22108,4454
73690,7040941,4446
3814,14624,4445
5601,21308,4442
44472,5062860,4439
5743,21827,4437
819,4517,4437
4294,15986,4422
5437,20269,4418
1616,7375,4414
4613,17145,4401
19932,78969,4400
10808,57170,4392
3215,13189,4385
22411,86616,4381
9904,48391,4376
6908,26222,4373
3737,14466,4365
1057,5257,4348
4092,15375,4342
28057,198045,4331
3174,13073,4317
9809,46966,4306
2455,9610,4300
5741,21813,4300
32401,3302553,4298
11354,58010,4296
40,107,4293
38514,4276378,4276
49,128,4275
3839,14681,4261
7288,27571,4260
2596,9911,4258
39911,4831055,4256
113,266,4252
10557,55018,4251
41593,5046625,4247
41835,5046963,4237
3175,13074,4234
8392,36483,4233
1622,7391,4233
1144,5631,4232
9240,39489,4226
38570,4276462,4220
18926,76476,4220
3877,14757,4215
33607,3599473,4214
21732,84318,4214
9723,45924,4213
117,286,4209
29414,2586485,4208
19289,77086,4205
19174,76913,4203
1147,5634,4200
3216,13191,4191
3902,14833,4190
4300,15997,4186
2610,9936,4179
5962,22988,4178
3349,13557,4175
4274,15941,4174
794,4440,4172
36404,3865881,4155
37527,4235874,4151
177,650,4151
9425,44739,4150
24894,93798,4149
17642,73846,4145
5082,18659,4143
112,263,4142
43625,5061260,4142
17466,73435,4142
12647,61102,4140
32686,3497502,4140
41594,5046626,4139
13267,63295,4139
415,1597,4138
15144,68108,4138
9042,38513,4136
2214,8770,4133
2564,9837,4117
6285,24843,4111
24810,93568,4111
25371,95736,4109
3787,14575,4107
8452,36666,4106
32649,3497447,4106
24282,91183,4092
89757,9254888,4085
51320,5479931,4080
24436,91784,4074
36,103,4073
88955,9127329,4071
25407,95805,4071
63736,6749599,4054
32589,3497348,4053
9802,46887,4047
67303,6805284,4043
11805,59187,4043
18623,75926,4042
33771,3817547,4039
17603,73726,4037
3207,13170,4035
979,5070,4035
22360,86519,4030
6274,24827,4029
12182,60107,4028
36838,4141329,4025
9808,46964,4022
654,2324,4022
16967,72281,4022
2442,9593,4018
2411,9500,4015
33767,3817538,4014
10064,50258,4013
9670,45585,4013
89492,9152094,4009
52059,5483205,4001
2513,9733,4001
57399,6640642,4000
10713,57016,3996
4840,17699,3989
21733,84319,3987
8608,37160,3979
3201,13152,3978
33776,3817552,3978
11180,57733,3975
1681,7511,3975
38,105,3972
25679,96409,3967
63741,6749604,3967
34282,3818600,3966
29058,201892,3963
10821,57198,3960
1306,6340,3960
2497,9696,3955
9633,45484,3953
633,2272,3952
8679,37294,3946
2643,10039,3945
8611,37167,3941
13383,63680,3940
19864,78821,3936
3654,14296,3933
36936,4141656,3927
15314,68700,3924
11370,58032,3923
11243,57828,3916
9615,45458,3912
32699,3497519,3910
22160,85879,3910
208,806,3906
29550,2833446,3906
9339,39692,3905
6578,25516,3902
25192,94677,3897
3308,13483,3894
73644,7036239,3893
7015,26625,3889
51607,5481871,3885
27347,103771,3880
1944,8016,3879
14804,67289,3877
13692,64213,3876
9532,45256,3875
51458,5481664,3869
11035,57517,3866
173,620,3860
1264,6131,3857
14888,67420,3851
18706,76069,3850
1314,6349,3849
54437,5997136,3849
24149,90558,3848
30136,2834432,3843
5424,20215,3842
65412,6782789,3840
2802,10757,3839
8790,37484,3838
32635,3497424,3837
64,152,3837
9999,50026,3837
1305,6339,3835
3897,14824,3828
12653,61115,3824
18401,75440,3820
78681,7071972,3803
7643,29556,3796
11728,58962,3795
4832,17685,3791
20062,79331,3783
2525,9760,3780
6286,24845,3778
650,2320,3767
5639,21502,3767
32668,3497476,3761
44566,5063007,3754
16860,72094,3752
4176,15592,3743
3763,14508,3739
2118,8474,3735
42065,5047328,3731
3264,13411,3724
41837,5046965,3723
30121,2834409,3722
2661,10074,3720
54,137,3714
13821,64615,3713
1111,5540,3711
15587,69481,3708
24265,91095,3701
62757,6744999,3697
17303,73028,3693
31026,3041844,3692
3660,14303,3688
4630,17194,3686
25917,97945,3679
7668,29588,3675
83,181,3671
12352,60413,3671
19418,77339,3669
18737,76120,3664
2444,9595,3662
353,1267,3658
733,2575,3654
14694,67109,3654
6302,24869,3653
15801,69944,3647
15170,68225,3644
31264,3048678,3641
8583,37121,3640
3752,14490,3632
4692,17328,3632
563,2057,3630
28056,198044,3628
15201,68347,3626
107,254,3625
475,1820,3620
8140,31227,3620
5955,22977,3614
8145,31300,3611
30119,2834407,3611
18777,76209,3604
22068,85680,3599
8614,37181,3599
9366,39771,3597
29673,2833643,3593
19621,78177,3578
4091,15374,3578
40764,5045361,3573
5976,23119,3571
11099,57610,3570
3736,14465,3563
13142,62826,3558
12228,60174,3548
3827,14657,3539
10038,50137,3539
5106,18734,3539
1318,6367,3538
14971,67576,3537
25099,94256,3532
19277,77063,3531
26577,101031,3529
218,825,3527
1312,6346,3526
59,143,3526
12029,59813,3523
10564,55049,3520
5492,20392,3518
10724,57033,3518
3655,14297,3518
27764,105591,3513
25647,96347,3507
32579,3497330,3501
735,2578,3494
13370,63646,3494
3115,12817,3493
9109,38712,3492
16176,70763,3488
38280,4275967,3486
40413,5044801,3482
29600,2833524,3479
10519,54732,3476
9813,46971,3476
29432,2589315,3476
6511,25241,3468
18892,76407,3464
14782,67242,3461
54731,6003852,3460
4161,15543,3457
1155,5650,3456
19280,77069,3451
84407,7386015,3451
5008,18398,3450
9708,45650,3449
8257,36153,3447
8628,37214,3444
32661,3497463,3443
40828,5045462,3434
2637,10019,3431
14351,66252,3431
2559,9828,3430
8680,37295,3430
63742,6749605,3428
119,288,3427
9110,38714,3427
8270,36191,3426
67884,6824586,3425
45938,5074363,3424
49623,5476580,3418
5161,18939,3417
11267,57865,3416
39259,4277747,3414
56312,6390644,3412
41477,5046481,3408
7640,29553,3407
14354,66258,3407
9595,45430,3406
27732,105470,3401
715,2548,3400
80,178,3400
13465,63843,3399
11771,59094,3398
7058,26739,3398
15952,70257,3397
5438,20270,3395
460,1786,3392
14525,66877,3390
797,4444,3390
11066,57558,3378
65408,6782785,3377
2549,9808,3376
30097,2834359,3372
12911,62040,3372
16939,72236,3371
6943,26333,3371
32740,3497585,3370
4927,18015,3366
68313,6827373,3359
16509,71435,3359
19284,77075,3353
73593,7036182,3351
9457,44788,3349
52228,5488904,3336
63745,6749608,3333
2593,9901,3331
25272,95430,3330
11220,57800,3328
25115,94334,3326
51409,5481347,3325
14046,65140,3321
53,136,3317
1023,5186,3316
19879,78845,3314
7037,26688,3312
48711,5469788,3307
1629,7406,3306
32669,3497477,3305
5954,22976,3300
26411,100449,3298
5105,18733,3297
5173,18984,3295
12009,59771,3293
82003,7339408,3292
3821,14638,3290
4846,17705,3289
29456,2600082,3289
63740,6749603,3286
5554,20804,3283
48184,5217344,3283
11101,57612,3271
7236,27471,3271
5423,20214,3271
246,877,3271
4680,17312,3265
35062,3821899,3263
17262,72910,3259
1539,7027,3257
445,1764,3253
5425,20219,3252
29180,202196,3248
82712,7342625,3245
2595,9908,3241
13374,63650,3239
7701,29648,3237
28412,199590,3233
55173,6005363,3232
36672,4033668,3231
5312,19940,3227
37048,4141821,3226
33,99,3226
8871,38153,3224
1015,5177,3224
22384,86572,3223
14635,67027,3216
1309,6343,3213
8877,38169,3212
3212,13181,3210
1537,7021,3207
9351,39725,3207
37787,4275048,3206
11171,57723,3205
48749,5469882,3204
2138,8553,3201
11406,58093,3198
17607,73733,3190
19416,77337,3189
4608,17133,3188
24903,93815,3185
23775,89578,3182
9607,45447,3182
32931,3562687,3181
14877,67408,3179
17453,73413,3179
6287,24848,3176
9707,45646,3172
1010,5160,3172
12361,60422,3171
9501,44848,3168
24325,91374,3167
2675,10120,3165
22885,87887,3164
10593,55151,3164
14636,67028,3163
6826,26073,3159
33740,3817488,3156
51389,5481321,3155
10108,50444,3155
15041,67701,3152
822,4523,3145
1502,6909,3141
1800,7734,3139
37788,4275049,3139
4670,17281,3137
41833,5046961,3137
22461,86719,3134
22482,86767,3134
14688,67103,3133
44834,5063499,3132
74,172,3131
6698,25831,3129
54493,5997215,3129
5975,23004,3127
16852,72084,3121
59751,6693304,3118
3166,13049,3117
4065,15263,3116
7019,26632,3114
3488,13854,3112
9673,45589,3110
11364,58022,3108
12205,60137,3107
6895,26197,3105
48692,5469740,3104
1249,6027,3103
41633,5046675,3101
557,2048,3100
791,4431,3099
7114,27269,3098
14964,67564,3098
5107,18735,3098
1020,5183,3096
3309,13484,3095
19417,77338,3092
7720,29676,3092
13714,64255,3091
29970,2834119,3091
56452,6565237,3090
526,1992,3087
25534,96164,3087
10065,50260,3085
67304,6805285,3082
85,183,3081
16140,70697,3080
3159,13029,3080
14402,66426,3078
3091,12732,3077
33949,3818078,3071
8761,37427,3066
33014,3564694,3064
980,5072,3063
8835,38060,3058
40090,5044203,3057
67308,6805291,3056
14531,66883,3054
3745,14479,3053
4749,17526,3053
12624,61045,3051
40532,5044992,3051
25576,96231,3049
35523,3848654,3048
9671,45586,3048
9323,39660,3047
1156,5653,3045
72456,7032900,3045
8738,37395,3041
18959,76531,3040
6266,24775,3039
3898,14827,3038
10784,57131,3034
27093,102868,3034
2542,9793,3033
6951,26342,3031
8719,37368,3027
4154,15517,3022
5440,20273,3020
9724,45929,3019
15018,67662,3017
40944,5045640,3016
3394,13667,3014
2700,10182,3014
1148,5636,3013
82546,7342221,3012
33612,3599479,3011
1965,8097,3011
6998,26589,3010
33384,3583086,3009
1317,6365,3009
19622,78178,3008
21578,83944,3006
1315,6352,3006
18510,75679,3005
48190,5217354,3003
9480,44824,3003
11672,58839,3000
8586,37126,2999
1286,6300,2998
6952,26344,2998
20447,80234,2997
4925,18013,2995
63126,6748562,2994
6280,24838,2988
38616,4276554,2987
67310,6805293,2986
67299,6805280,2983
5422,20213,2979
22509,86847,2978
27255,103406,2977
37538,4240674,2975
25648,96348,2974
11628,58746,2974
524,1989,2972
16496,71404,2969
290,1005,2964
17301,73018,2964
1969,8102,2963
10008,50036,2963
10053,50218,2962
14996,67615,2958
3808,14613,2955
13839,64642,2954
14529,66881,2953
3799,14596,2951
25140,94423,2950
25181,94653,2948
36673,4033669,2946
1381,6590,2946
5932,22924,2939
9725,45932,2938
104,240,2934
3240,13303,2931
8735,37392,2929
212,813,2927
1937,8001,2923
12635,61078,2922
3705,14404,2921
12215,60153,2920
9952,49923,2919
6115,24473,2918
400,1536,2916
1337,6429,2915
5977,23138,2911
137,452,2911
8488,36827,2911
4056,15245,2908
6279,24837,2905
38662,4276620,2902
2527,9763,2900
49565,5476110,2899
3134,12857,2899
9295,39604,2896
3901,14832,2891
3560,14035,2891
27399,103920,2890
1282,6278,2889
13694,64216,2887
29211,1159933,2886
32929,3562685,2885
11121,57642,2883
11724,58958,2881
5897,22547,2879
4683,17316,2879
23774,89577,2877
221,829,2876
39206,4277624,2875
43582,5061201,2874
8624,37210,2874
49175,5471575,2866
65672,6784393,2863
40373,5044727,2862
15999,70370,2861
9337,39690,2858
146,471,2858
22067,85679,2857
6306,24873,2854
6590,25560,2853
14819,67324,2850
9898,48322,2847
84455,7386338,2847
3819,14632,2845
7682,29619,2845
6885,26184,2841
8632,37221,2836
40369,5044722,2833
8629,37216,2827
38904,4277111,2824
30,86,2824
15040,67700,2824
2007,8196,2824
11433,58137,2823
4750,17527,2822
5979,23140,2822
47212,5214802,2820
7240,27475,2819
51452,5481655,2816
68573,6999847,2815
12286,60278,2813
5233,19300,2813
6696,25829,2810
27327,103677,2806
8255,36149,2806
9222,38931,2801
55773,6368557,2800
4235,15704,2799
11176,57728,2798
42813,5051521,2796
11109,57624,2796
50999,5478983,2795
14208,65670,2792
18211,75078,2790
63735,6749598,2788
13140,62815,2788
4266,15916,2788
31255,3048669,2785
8042,30307,2780
2462,9624,2780
7979,30213,2780
14623,67014,2779
6304,24871,2778
6832,26086,2776
759,2636,2774
51251,5479810,2773
7592,28138,2773
54417,5997093,2772
4635,17199,2771
9681,45598,2770
56488,6565334,2770
18419,75485,2767
31028,3041848,2766
15241,68471,2763
8811,37536,2761
14650,67045,2761
1012,5166,2759
53632,5651531,2759
41716,5046788,2758
25029,94054,2758
5522,20567,2755
37792,4275056,2755
11613,58715,2753
13406,63712,2752
63,151,2751
2473,9645,2749
32723,3497558,2748
11073,57566,2748
5257,19419,2747
9676,45592,2747
26129,99538,2746
50201,5477483,2745
2454,9609,2745
2629,9999,2741
690,2519,2740
37759,4274992,2739
55758,6368538,2737
4612,17143,2734
57903,6685956,2733
25938,98040,2731
12475,60717,2730
8588,37128,2729
6282,24840,2727
6948,26338,2726
38153,4275765,2725
12123,60012,2724
25535,96166,2724
25656,96359,2724
5025,18428,2723
6879,26176,2723
32930,3562686,2720
12479,60730,2717
11978,59672,2717
13699,64227,2716
647,2304,2715
36834,4141320,2714
55275,6210170,2713
10606,55192,2711
2511,9727,2711
1308,6342,2710
30148,2834448,2703
14898,67436,2703
3305,13478,2703
22665,87282,2701
21892,85026,2701
872,4689,2700
37384,4203422,2696
5959,22981,2696
5092,18711,2696
3192,13123,2696
364,1309,2695
1298,6329,2694
28619,200939,2693
4401,16591,2693
37242,4203124,2691
12608,61013,2689
4577,17009,2689
5364,20058,2687
14704,67126,2685
1056,5256,2683
9632,45481,2682
7290,27581,2679
11456,58168,2677
4751,17528,2677
32693,3497511,2675
390,1504,2673
14905,67445,2672
28630,200959,2672
11394,58080,2671
11097,57608,2669
13877,64731,2668
6911,26225,2667
11159,57706,2667
25742,96530,2666
33013,3564693,2666
4813,17655,2666
17467,73436,2664
43779,5061498,2664
2015,8213,2663
12652,61113,2662
50328,5477651,2662
6296,24859,2662
14160,65483,2661
10100,50412,2660
17677,73937,2660
2523,9757,2658
21410,82738,2655
273,945,2655
299,1039,2654
16314,71050,2653
8821,37559,2653
1488,6882,2653
5273,19480,2652
4307,16019,2651
2441,9592,2651
8916,38251,2650
16855,72087,2649
7700,29647,2649
2396,9416,2649
18140,74950,2647
6709,25842,2646
11318,57948,2642
20254,79783,2641
5653,21540,2640
6898,26200,2634
5795,21999,2632
38539,4276421,2631
8075,30368,2629
14078,65244,2629
3452,13785,2629
29417,2586488,2628
3254,13349,2628
11069,57561,2627
2691,10169,2626
9022,38464,2626
14135,65407,2624
12711,61306,2623
10059,50235,2620
9877,47853,2617
19878,78842,2614
69857,7014915,2613
2064,8309,2611
1372,6561,2611
11680,58861,2610
3678,14338,2608
2702,10186,2608
6710,25843,2606
19502,77655,2605
3457,13793,2604
1017,5179,2604
5455,20299,2602
38203,4275840,2602
4971,18201,2600
9656,45553,2595
33963,3818095,2594
48121,5217177,2594
4632,17196,2593
14954,67550,2591
13710,64247,2589
8910,38241,2589
25622,96294,2588
716,2549,2588
8194,36059,2588
1798,7732,2585
12433,60616,2584
40302,5044600,2584
52310,5566942,2580
61723,6698280,2578
43583,5061202,2578
8406,36509,2577
39508,4592949,2577
19975,79082,2575
11268,57867,2574
26408,100446,2574
32728,3497563,2574
26317,100201,2572
14200,65641,2572
61289,6697382,2572
15591,69490,2571
10179,51043,2570
3680,14341,2568
48522,5469494,2567
7707,29655,2565
13748,64365,2565
51989,5483097,2565
2609,9935,2564
5307,19928,2563
58,142,2563
25550,96185,2561
6056,24273,2561
46587,5075782,2557
2447,9601,2557
5498,20408,2555
9328,39665,2553
70151,7015896,2552
1505,6930,2552
39529,4592981,2549
11648,58795,2547
9112,38717,2544
9897,48316,2544
1421,6717,2542
17676,73936,2542
8848,38105,2541
19493,77632,2540
19285,77077,2538
8669,37277,2537
18711,76083,2535
37751,4274973,2534
646,2303,2533
65410,6782787,2532
14528,66880,2532
244,875,2532
11729,58966,2531
19645,78288,2528
11302,57923,2528
39212,4277633,2527
8584,37122,2527
4872,17764,2526
28347,199474,2526
34464,3818847,2526
4682,17315,2521
33156,3569076,2521
3874,14749,2521
10032,50126,2517
5520,20553,2516
1955,8071,2516
8585,37123,2510
12617,61038,2509
34096,3818324,2509
29,85,2500
14639,67031,2500
582,2098,2498
32673,3497484,2498
110,258,2496
4582,17024,2494
48743,5469870,2493
10585,55128,2492
10099,50410,2492
13816,64607,2491
19278,77066,2489
11184,57740,2488
51152,5479399,2488
32711,3497535,2487
5274,19482,2487
295,1035,2475
52294,5566924,2475
2626,9990,2471
9690,45613,2471
9591,45425,2470
529,1996,2470
48130,5217196,2469
306,1086,2467
6871,26164,2465
40802,5045417,2462
3510,13943,2461
32627,3497412,2459
51273,5479848,2458
40737,5045302,2456
48229,5217412,2456
14136,65412,2454
90065,9338953,2453
165,585,2449
5756,21868,2448
5584,21111,2447
14703,67125,2446
41300,5046185,2446
4270,15927,2446
51041,5479078,2446
45463,5073439,2444
45462,5073438,2443
5707,21654,2442
42792,5051494,2439
10617,55266,2439
9058,38581,2439
54431,5997127,2437
5458,20302,2437
48227,5217410,2436
26394,100411,2435
5593,21194,2432
8855,38116,2432
958,4991,2430
44031,5062131,2430
41654,5046701,2430
32732,3497573,2429
24756,93422,2429
30123,2834411,2429
12354,60415,2428
32830,3558281,2428
2151,8584,2425
11558,58373,2424
2572,9852,2422
70509,7016864,2422
178,651,2421
98,228,2420
3364,13577,2418
35529,3850654,2418
8667,37275,2418
8163,31491,2417
41286,5046168,2417
51,131,2417
32679,3497492,2414
73636,7036229,2413
19013,76626,2411
33753,3817511,2411
420,1652,2409
12769,61490,2407
32648,3497446,2407
47206,5214793,2406
3211,13180,2406
38598,4276521,2405
30197,2834517,2404
25582,96237,2404
41529,5046543,2403
19738,78576,2403
11060,57552,2402
14118,65329,2401
3246,13333,2400
10921,57346,2399
417,1611,2396
41195,5046022,2395
8617,37190,2395
14622,67013,2390
13847,64675,2390
981,5073,2387
7059,26742,2386
1316,6353,2382
9490,44836,2380
12610,61016,2380
12243,60206,2379
32702,3497522,2379
3768,14513,2371
4890,17801,2370
5384,20100,2368
5536,20755,2368
37604,4274656,2367
7237,27472,2366
14676,67084,2366
8308,36269,2366
34249,3818565,2366
9108,38711,2365
82671,7342538,2364
35613,3854294,2364
30522,2835062,2362
32634,3497423,2361
9895,48314,2359
21923,85187,2359
4931,18027,2358
2640,10034,2358
693,2522,2357
36544,3883053,2355
5005,18377,2355
16993,72326,2354
12552,60888,2354
38791,4276909,2354
166,591,2353
5555,20805,2353
6708,25841,2352
38960,4277211,2351
34451,3818817,2350
38315,4276018,2349
6955,26347,2348
1084,5428,2346
4037,15148,2343
22506,86838,2342
25593,96252,2341
9353,39727,2340
3813,14622,2338
13670,64174,2337
21699,84240,2336
53399,5629938,2335
46693,5075971,2335
15553,69373,2332
1248,6019,2332
8983,38362,2332
7011,26617,2331
2503,9711,2329
5372,20072,2328
65411,6782788,2327
38420,4276192,2326
29088,201946,2326
54489,5997208,2325
38531,4276410,2324
33044,3565486,2324
10881,57279,2324
133,410,2321
710,2542,2320
8539,37005,2320
13767,64416,2319
32580,3497332,2318
